filename,row_preview,computed_total,stated_total,difference
M-103-2025 Reliance Retail Apple Container No. EMCU5520487.pdf, | 100 (RD) |  |  | 1 | ,98,3,95
M-103-2025 Reliance Retail Apple Container No. EMCU5520487.pdf, | 100 (Fuji) |  |  | 1 | ,100,1,99
M-103-2025 Reliance Retail Apple Container No. EMCU5520487.pdf, | 100(Sugarbee) |  |  | 1 | ,95,6,89
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 1 |  |  | 100 - RD | ,163.40,0.06,163.34
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 2 |  |  | 100 - RD | ,162.56,0.48,162.08
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 3 |  |  | 100 - RD | ,163.88,0.18,163.70
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 4 |  |  | 100 - RD | ,161.74,2.11,159.63
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 5 |  |  | 100 - Granny | ,156.42,0.52,155.90
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 6 |  |  | 100 - Granny | ,156.38,0.54,155.84
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 7 |  |  | 100 - Granny | ,156.56,0.45,156.11
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 8 |  |  | 100 - Granny | ,156.42,0.52,155.90
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 9 |  |  | 113 - Granny | ,169.16,0.53,168.63
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 10 |  |  | 113 - Granny | ,168.46,0.88,167.58
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 11 |  |  | 113 - Granny | ,169.56,0.33,169.23
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | 12 |  |  | 113 - Granny | ,169.18,0.52,168.66
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf, | Total 12 Boxes |  |  |  | ,701.72,2.54,699.18
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 1. |  |  | 135 | ,425.80,12.37,413.43
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 2. |  |  | 135 | ,425.92,11.87,414.05
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 3. |  |  | 135 | ,425.52,14.68,410.84
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 4. |  |  | 135 | ,426.27,13.32,412.95
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 5. |  |  | 135 | ,426.24,13.19,413.05
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 6. |  |  | 135 | ,425.44,16.53,408.91
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 7. |  |  | 135 | ,424.58,11.29,413.29
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 8. |  |  | 135 | ,424.84,14.36,410.48
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf, | 9. |  |  | 135 | ,425.69,12.67,413.02
