filename,report_number,commodity,type,heading_sequence
M-100-2026 FFA (Exportadora Manga Trading S.A) Apple # PCIU6143729 & PCIU6101889.pdf,M-100-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-103-2025 Reliance Retail Apple Container No. EMCU5520487.pdf,M-103-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-108-2025 Reliance Retail - Apple Container No. EMCU5642459.pdf,M-108-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-108-2026 Sardar Ji Impex House (Sanjo Coopertiva Agricola De Sao) # 5 Apple Containers.pdf,M-108-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → SURVEY PHOTOGRAPHS:
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf,M-109-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-109-2026 Sardar Ji Impex House (Sanjo Coopertiva Agricola De Sao) # 7 Apple Containers.pdf,M-109-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → SURVEY PHOTOGRAPHS:
M-11-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MNBU4058880.pdf,M-11-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-111-2025 Anusaya Granny Apple Container No. MNBU4487689.pdf,M-111-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-112-2026 Sardar Ji Impex House (Sanjo Coopertiva Agricola De Sao) # 3 Apple Containers.pdf,M-112-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-113-2025 Reliance Retail - Apple Container No. EMCU5378346.pdf,M-113-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
"M-116-2026 Reliance Retail (Vog Verband Der Suedtiroler, Italy) Apple # SEGU9019156.pdf",M-116-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS
M-117-2025 Vande Fresh Apple Container No. FSCU5929559.pdf,M-117-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-12-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MNBU0293622.pdf,M-12-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-124-2026 Avantgarde Fruit Traders LLP (GF Marketing Pty. Ltd) Apple # MNBU0294151 & MNBU3643540.pdf,M-124-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
