commodity,defect_category,frequency,sample_header
APPLE,Rotten,232,Rotten
APPLE,Sound,226,Sound
APPLE,Russet,167,Russet
ORANGE,Sound,78,SOUND
ORANGE,Rotten,72,ROTTEN
DRAGON,Sound,63,Sound
DRAGON,Soft,58,Soft
GRAPE,Soft Grapes,57,Soft Grapes (Kg)
GRAPE,Sound Grapes,55,Sound Grapes (Kg)
PEAR,Sound,54,SOUND
PEAR,Rotten,52,ROTTEN
GRAPE,Rotten Grapes,51,Rotten Grapes (Kg)
PEAR,Russet,50,RUSSET
APPLE,Bruised,49,Bruised (Pcs)
ORANGE,Russet,46,RUSSET
KIWI,Sound,38,Sound
KIWI,Soft,35,Soft
KIWI,Rotten,34,Rotten
BLUEBERRY,Found Net Weight Of Soft Berries,32,Found net weight of soft berries (Kg)
BLUEBERRY,Found Net Weight Of Sound Berries,31,Found net weight of sound berries (Kg)
PLUM,Sound,30,Sound
PLUM,Rotten,29,Rotten
MANDARIN,Rotten,28,Rotten (Pcs)
MANDARIN,Sound,27,Sound (Pcs)
ORANGE,Rotten Spot,26,Rotten Spot (Pcs)
PLUM,Soft,24,Soft
APPLE,Damage,23,Damage
ORANGE,Soft,23,SOFT
ORANGE,Chilling Injury,22,CHILLING INJURY
BLUEBERRY,Found Net Weight Of Rotten Berries,21,Found net weight of Rotten Berries (Kg)
MANDARIN,Russet,21,Russet (Pcs)
PLUM,Russet,21,Russet
APPLE,Shriveled,18,Shriveled (Pcs)
APPLE,Shrivelled,17,Shrivelled (Pcs)
APPLE,Rotten Spot,17,Rotten Spot (Pcs)
APPLE,Damaged,16,Damaged
ORANGE,Scab,16,Scab (Pcs)
GRAPE,Rotten,15,Rotten
APPLE,Stem,14,Stem
APPLE,Stem-,12,Stem-
CHERRY,Sound,11,Sound
MANDARIN,Rotten Spot,11,Rotten Spot (Pcs)
ORANGE,Shrivelled,11,Shrivelled (Pcs)
CHERRY,Rotten,10,Rotten
CHERRY,Soft Cargo,10,soft cargo
ORANGE,Pitting,10,PITTING
AVOCADO,Sound,9,SOUND (PCS)
AVOCADO,Rotten,9,ROTTEN (PCS)
DRAGON,Shrivelled,9,Shrivelled (Pcs)
PEAR,Damaged,9,Damaged
APPLE,Stem Crack,8,Stem Crack (Pcs)
GRAPE,Sound,8,Sound
APPLE,Scab,7,Scab (Pcs)
APPLE,Bitter-Pit,7,Bitter-Pit
GRAPE,Soft,7,Soft
MANDARIN,Soft,7,Soft
CHERRY,Pitting,6,Pitting
CHERRY,Rotten Cargo,6,Rotten cargo
ORANGE,Pitting Marks,6,Pitting Marks (Pcs)
APPLE,Pressure Damage,5,Pressure Damage (Pcs)
CHERRY,Found Net Weight Of Soft Cargo,5,Found net weight of soft cargo (Kg)
CHERRY,Sound Cherries,5,Sound Cherries (Kg)
CHERRY,Soft Cherries,5,Soft Cherries (Kg)
CHERRY,Pitting Marks Cherries,5,Pitting Marks Cherries (Kg)
CHERRY,Soft,5,Soft
CHERRY,Sound Cargo,5,sound cargo
DRAGON,Rotten,5,Rotten
PLUM,Shrivelled,5,Shrivelled (Pcs)
APPLE,Cracked,4,Cracked
APPLE,Sunburn,4,Sunburn (Pcs)
AVOCADO,Soft,4,SOFT
BLUEBERRY,Found Net Weight Of Soft Cargo,4,Found net weight of soft cargo (Kg)
BLUEBERRY,Sound,4,sound
CHERRY,Found Net Weight Of Pitting Marks Cargo,4,Found net weight of Pitting Marks cargo (Kg)
CHERRY,Found Net Weight Of Sound Cargo,4,Found net weight of sound cargo (Kg)
CHERRY,Found Net Weight Of Rotten Cargo,4,Found net weight of Rotten cargo (Kg)
CHERRY,Rotten Cherries,4,Rotten Cherries (Kg)
ORANGE,Skin Defects,4,Skin Defects
PEAR,Shrivelled,4,Shrivelled (Pcs)
PEAR,Rotten Spot,4,Rotten Spot (Pcs)
APPLE,Scald,3,Scald (Pcs)
APPLE,Pressure Damaged,3,Pressure Damaged (Pcs)
APPLE,100 (Sound Apples) / 20 Pcs,3,100 (Sound Apples) / 20 Pcs
APPLE,110 (Sound Apples) / 20 Pcs,3,110 (sound Apples) / 20 Pcs
DRAGON,Skin Russet,3,Skin Russet (Pcs)
MANDARIN,Pitting Marks,3,Pitting Marks (Pcs)
PEAR,Shriveled,3,Shriveled (Pcs)
PEAR,Pressure Damaged,3,Pressure Damaged (Pcs)
APPLE,Stem- Crack,2,Stem- Crack (Pcs)
APPLE,Russet / Skin- Defects,2,Russet / Skin- Defects (Pcs)
APPLE,(Sound + Internal,2,(sound + internal
APPLE,(Russet),2,(Russet)
APPLE,Bitter-Pit Marks Pcs),2,Bitter-Pit Marks Pcs)
APPLE,Damage -,2,Damage -
APPLE,Stem-Less,2,Stem-Less
APPLE,Russet Pcs),2,Russet Pcs)
APRICOT,Sound Apricot,2,Sound Apricot (Pcs)
APRICOT,Soft Apricot,2,Soft Apricot (Pcs)
APRICOT,Rotten Apricot,2,Rotten Apricot (Pcs)
BLUEBERRY,Found Net Weight Of Sound Cargo,2,Found net weight of sound cargo (Kg)
BLUEBERRY,Soft Cargo,2,soft cargo
BLUEBERRY,Weight Of Sound,2,weight of sound
BLUEBERRY,Soft Berries,2,soft berries
BLUEBERRY,Rotten,2,Rotten
BLUEBERRY,Found Net Weight Of Shrivelled Berries,2,Found net weight of Shrivelled Berries (Kg)
BLUEBERRY,Found Sound Berries,2,Found sound berries (Pcs)
BLUEBERRY,Found Soft Berries,2,Found soft berries (Pcs)
BLUEBERRY,Weight Of Soft,2,weight of soft
BLUEBERRY,Found Net Weight Of Rotten / Fungus Berries,2,Found net weight of Rotten / Fungus Berries (Kg)
CHERRY,Cracked Cherries,2,Cracked Cherries (Kg)
CHERRY,Pitting Marks,2,Pitting Marks
CHERRY,Cracked,2,Cracked
KIWI,"• Upon Cutting The Soft/Ripen Kiwi’S, The Pulp Was Found In Soft And Juicy In Varying Degrees With",2,"• Upon cutting the soft/ripen kiwi’s, the pulp was found in soft and juicy in varying degrees with"
MANDARIN,Soft / Pressed,2,Soft / Pressed (Pcs)
ORANGE,Chilling,2,CHILLING
ORANGE,Soft/Pressed,2,Soft/Pressed (Pcs)
PEAR,Bruised,2,BRUISED
PLUM,Russet /,2,Russet /
APPLE,Mejor Bruised,1,Mejor Bruised (Pcs)
APPLE,Bitter Pit / Rotten Spot,1,Bitter Pit / Rotten Spot (Pcs)
APPLE,Sound (916 Pcs),1,Sound (916 Pcs)
APPLE,Russet (27 Pcs),1,Russet (27 Pcs)
APPLE,Bruised (428 Pcs),1,Bruised (428 Pcs)
APPLE,Shriveled (179 Pcs),1,Shriveled (179 Pcs)
APPLE,Rotten (16 Pcs),1,Rotten (16 Pcs)
APPLE,Stem- Less,1,Stem- Less (Pcs)
APPLE,Stem Cracked,1,Stem Cracked (Pcs)
APPLE,(Sound +,1,(sound +
APPLE,Others Category (Sound + Internal,1,Others Category (sound + internal
APPLE,Shrivelld,1,Shrivelld (Pcs)
APPLE,Minor Bruised,1,Minor bruised (Pcs)
APPLE,Major Bruised,1,Major bruised (Pcs)
APPLE,Skin- Defects / Russet,1,Skin- Defects / Russet (Pcs)
APPLE,Internal Browning,1,Internal Browning (Pcs)
APPLE,Bitter-Pit /,1,Bitter-Pit /
APPLE,Rotten Spots,1,Rotten Spots (Pcs)
APPLE,Damage /,1,Damage /
APPLE,To Rotten,1,to Rotten
APPLE,Russet/ Un-Clean,1,Russet/ Un-Clean (Pcs)
APPLE,Russet/,1,Russet/
APPLE,Skin-Defects / Russet,1,Skin-Defects / Russet (Pcs)
APPLE,Apples With Internal Browning,1,Apples with Internal Browning
APPLE,% Browning,1,% Browning
APPLE,Sound Apples,1,Sound Apples
APPLE,% Sound,1,% Sound
APPLE,"Marine Cargo Agencies Private Limited Final Survey Report No. M-84-2026 The Pressure Of The Randomly Selected 10 Apple Fruits Under 6 Counts @ 2 Readings Per Fruit Under Sound Category) Was Measured Using A Digital Penetrometer, And The Following Average Values Were Recorded For The Sound And The Low-Pressure Apples As Follows: • 150 Xf Aa Count: Range Of 15.49 Lbs To 19.95 Lbs. (Photo Nos.31 & 32) • 150 Xf Aaa Count: Range Of 18.17 Lbs To 19.06 Lbs. (Photo Nos. 33 & 34) • 175 Xf Aa Count: Range Of 13.85 Lbs To 23.10 Lbs. (Photo Nos. 35 & 36) • 175 Xf Aaa Count: Range Of 20.05 Lbs To 20.59 Lbs. (Photo Nos.37 & 38) • 198 Xf Aa Count: Range Of 19.76 Lbs To 21.62 Lbs. (Photo Nos.39 & 40) • 198 Xf Aaa Count: Range Of 18.48 Lbs To 19.86 Lbs. (Photo Nos.41 & 42) The Apple Fruits Were Cut, And The Following Pulp Conditions Were Observed: • Sound Apples: The Pulp Was Consistently Hard And White. (Photo No.43) • Low Pressure Apples: The Apples Exhibiting Low Pressure Readings Were Examined. The Overall Pulp Was Found To Be Extremely Soft And Brown In Colour. The Fruit Was Easily Breakable Upon Pressing By Hand, Indicating Advanced Deterioration. (Photo No.44) • Sugar Brix Was Checked And Was Found In The Range Of 9.7% To 17.8%. (Photo Nos. 45 & 46) During Our Inspection, 10 Boxes Out Of The 1,029 Boxes (Under 6 Counts) Were Separated Into The Following Categories. The Details For Each Category Are Provided Below: (Photo Nos. 47 To 230)",1,"MARINE CARGO AGENCIES PRIVATE LIMITED FINAL SURVEY REPORT NO. M-84-2026 The pressure of the randomly selected 10 Apple fruits under 6 counts @ 2 readings per fruit under sound category) was measured using a digital penetrometer, and the following average values were recorded for the sound and the low-pressure apples as follows: • 150 XF AA Count: Range of 15.49 LBS to 19.95 LBS. (Photo Nos.31 & 32) • 150 XF AAA Count: Range of 18.17 LBS to 19.06 LBS. (Photo Nos. 33 & 34) • 175 XF AA Count: Range of 13.85 LBS to 23.10 LBS. (Photo Nos. 35 & 36) • 175 XF AAA Count: Range of 20.05 LBS to 20.59 LBS. (Photo Nos.37 & 38) • 198 XF AA Count: Range of 19.76 LBS to 21.62 LBS. (Photo Nos.39 & 40) • 198 XF AAA Count: Range of 18.48 LBS to 19.86 LBS. (Photo Nos.41 & 42) The Apple fruits were cut, and the following pulp conditions were observed: • Sound apples: The pulp was consistently hard and white. (Photo No.43) • Low pressure apples: The apples exhibiting low pressure readings were examined. The overall pulp was found to be extremely soft and brown in colour. The fruit was easily breakable upon pressing by hand, indicating advanced deterioration. (Photo No.44) • Sugar brix was checked and was found in the range of 9.7% to 17.8%. (Photo Nos. 45 & 46) During our inspection, 10 boxes out of the 1,029 boxes (under 6 Counts) were separated into the following categories. The details for each category are provided below: (Photo Nos. 47 to 230)"
APPLE,Sound / No Internal,1,Sound / No Internal
APPLE,Minor Internal Browning,1,Minor Internal Browning (Pcs)
APPLE,Major Internal Browning,1,Major Internal Browning (Pcs)
APPLE,Softy With,1,softy with
APRICOT,Sound Nectarines Fruits,1,Sound Nectarines Fruits (Pcs)
APRICOT,Soft Nectarines Fruits,1,Soft Nectarines Fruits (Pcs)
APRICOT,Rotten Nectarines Fruits,1,Rotten Nectarines Fruits (Pcs)
APRICOT,Sound Peaches,1,Sound Peaches (Pcs)
APRICOT,Soft Peaches,1,Soft Peaches (Pcs)
APRICOT,Rotten Peaches,1,Rotten Peaches (Pcs)
AVOCADO,Soft/Over-Ripped,1,Soft/over-ripped
AVOCADO,Black & Rotten,1,Black & Rotten
AVOCADO,Soft-Ripped /,1,Soft-Ripped /
BLUEBERRY,Sound Cargo In Punnet,1,Sound cargo in Punnet (Pcs)
BLUEBERRY,Soft Cargo In Punnet,1,Soft cargo in Punnet (Pcs)
BLUEBERRY,Rotten / Fungus Cargo In Punnet,1,Rotten / Fungus cargo in Punnet (Pcs)
BLUEBERRY,Found Net Weight Of Rotten/Fungus Berries,1,Found net weight of Rotten/Fungus Berries (Kg)
BLUEBERRY,Found Net Weight Of Rotten Cargo,1,Found net weight of Rotten cargo (Kg)
BLUEBERRY,Found Net Weight Of Fungus/Rotten Cargo,1,Found net weight of Fungus/Rotten cargo (Kg)
BLUEBERRY,Sound Cargo,1,sound cargo
BLUEBERRY,Fungus/Rotten Cargo,1,Fungus/Rotten cargo
BLUEBERRY,Fungus / Rotten,1,Fungus / Rotten
BLUEBERRY,Shrivelled,1,Shrivelled
BLUEBERRY,Of Sound Berries,1,of sound berries
BLUEBERRY,Of Soft Berries,1,of soft berries
BLUEBERRY,Of Rotten Berries,1,of Rotten Berries
BLUEBERRY,Sound Berries,1,sound berries
BLUEBERRY,Rotten Berries,1,Rotten Berries
BLUEBERRY,Sound Blueberry,1,Sound Blueberry (Kg)
BLUEBERRY,Soft Blueberry,1,Soft Blueberry (Kg)
BLUEBERRY,Rotten Blueberry,1,Rotten Blueberry (Kg)
CHERRY,Fungus / Rotten Cherries,1,Fungus / Rotten Cherries (Pcs)
DRAGON,Soft With Yellow,1,Soft with Yellow (Pcs)
DRAGON,Sound (31 Pcs),1,Sound (31 Pcs)
DRAGON,Shriveled (154 Pcs),1,Shriveled (154 Pcs)
DRAGON,Soft (4 Pcs),1,Soft (4 Pcs)
DRAGON,Russet,1,Russet
DRAGON,Rotten / Fungus,1,Rotten / Fungus (Pcs)
GRAPE,Sound Pcs,1,Sound Pcs
KIWI,Sound Pulp,1,Sound Pulp
