filename,report_number,type,family,commodity,client,container_count,photo_count,page_count,date,content_hash
M-100-2026 FFA (Exportadora Manga Trading S.A) Apple # PCIU6143729 & PCIU6101889.pdf,M-100-2026,SURVEY,SURVEY_REPORT,APPLE,Fresh Fruit Alliances Private Limited,2,360,62,8 May 2026,618f2a492f2c52d2
M-103-2025 Reliance Retail Apple Container No. EMCU5520487.pdf,M-103-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,34,12,3 July 2025,0bd5012092650404
M-108-2025 Reliance Retail - Apple Container No. EMCU5642459.pdf,M-108-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,33,13,3 July 2025,8e0967a9be7f7e03
M-108-2026 Sardar Ji Impex House (Sanjo Coopertiva Agricola De Sao) # 5 Apple Containers.pdf,M-108-2026,SURVEY,SURVEY_REPORT,APPLE,Sardar Ji Impex House,5,782,130,8 May 2026,9a39f2cc64d561e3
M-109-2025 Reliance Retail - Apple Container No. CGMU6561254.pdf,M-109-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,131,13,18 June 2025,5a17317f7184c3b3
M-109-2026 Sardar Ji Impex House (Sanjo Coopertiva Agricola De Sao) # 7 Apple Containers.pdf,M-109-2026,SURVEY,SURVEY_REPORT,APPLE,Sardar Ji Impex House,7,1113,177,16 May 2026,bc54e70e5f934293
M-11-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MNBU4058880.pdf,M-11-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,112,20,9 March 2026,80cd25c07153c676
M-111-2025 Anusaya Granny Apple Container No. MNBU4487689.pdf,M-111-2025,SURVEY,SURVEY_REPORT,APPLE,Anusaya Fresh India Pvt.Ltd,1,27,13,19 August 2025,2dfaca758fb5f865
M-112-2026 Sardar Ji Impex House (Sanjo Coopertiva Agricola De Sao) # 3 Apple Containers.pdf,M-112-2026,SURVEY,SURVEY_REPORT,APPLE,Sardar Ji Impex House,3,447,85,8 May 2026,850e8c227dcedd52
M-113-2025 Reliance Retail - Apple Container No. EMCU5378346.pdf,M-113-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,38,12,12 July 2025,301174cc4677d06f
