filename,row_preview,computed_total,stated_total,difference
G-1649-23B KLJ Resources (Vanway - PIng An) Final SR.docx,TK No.112 | 986.088 | 976.304 | 980.600 | -4.296 | -6.399,2938.696,-6.399,2945.095
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,12 | 12 | 9208 | 9208 | 36 Bales | 180 to 187,9232,9208,24
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,13 | 13 | 7159 | 7159 | 36 Bales | 36 Bales,7185,7159,26
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,14 | 14 | 9288 | 9288 | 36 Bales | 36 Bales,9316,9288,28
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,16 | 16 | 7109 | 7109 | 36 Bales | 36 Bales,7141,7109,32
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,17 | 17 | 9243 | 9243 | 36 Bales | 36 Bales,9277,9243,34
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,18 | 18 | 9222 | 9222 | 36 Bales | 36 Bales,9258,9222,36
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,19 | 19 | 9239 | 9239 | 36 Bales | 36 Bales,9277,9239,38
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,20 | 20 | 7157 | 7157 | 36 Bales | 36 Bales,7197,7157,40
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,22 | 22 | 9273 | 9273 | 36 Bales | 36 Bales,9317,9273,44
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,23 | 23 | 7090 | 7090 | 36 Bales | 36 Bales,7136,7090,46
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,24 | 24 | 9138 | 9138 | 36 Bales | 36 Bales,9186,9138,48
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,25 | 25 | 7657 | 7657 | 36 Bales | 36 Bales,7707,7657,50
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,"34 | 7196 | 36 | 347 to 357 | Upon checking,  all the 36 bales were found with white spots at places in varying degrees.",7230,36,7194
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,35 | 9147 | 36 | 358 to 366 | All 6 bales placed at the bottom row was found with black spots at places in varying degrees.,9182,36,9146
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.160 | 1 | 25.180,27.160,25.180,1.980
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.180 | 1 | 25.190,27.180,25.190,1.990
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.220 | 1 | 25.150,27.220,25.150,2.070
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.190 | 1 | 25.200,27.190,25.200,1.990
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.210 | 1 | 25.210,27.210,25.210,2.000
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.190 | 1 | 25.230,27.190,25.230,1.960
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.200 | 1 | 25.190,27.200,25.190,2.010
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.150 | 1 | 25.190,27.150,25.190,1.960
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.200 | 1 | 25.210,27.200,25.210,1.990
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.200 | 1 | 25.190,27.200,25.190,2.010
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.200 | 1 | 25.220,27.200,25.220,1.980
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.180 | 1 | 25.220,27.180,25.220,1.960
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,1 | 25.180 | 1 | 25.160,27.180,25.160,2.020
