filename,report_number,heading_sequence
LEAD DRUMS IN CONTAINER.docx,,
G-1158-24B Crystal Crop Protection (PICC) PLA (Leakage drums in container).docx,,
G-1171-24B Swara Hygiene Pvt. Ltd..  (PICC) PLA - bags.docx,,
G-1183-24G AYM Syntex (Lead Marine - CPIC) Prelim Report - JUMBO BAGS - JUMBO BAGS.docx,,Background → COURSE OF EVENTS → Visit to Consignees Factory/warehouse → THE SILVER NITRATE TEST → Cost to mitigate further loss. → Surveyor’s Comments → Allegation of the consignee → ENCLOSURE
G-1183-24G AYM Syntex (Lead Marine - CPIC) Prelim Report JUMBO BAGS.docx,,Background → COURSE OF EVENTS → Visit to Consignees Factory/warehouse → THE SILVER NITRATE TEST → Cost to mitigate further loss. → Surveyor’s Comments → Allegation of the consignee → ENCLOSURE
G-1190-24B Ceat Limited (PICC) PLA - damaged case in container.docx,,
G-1202-24B Herald Publications (CNA) PLA - Machine.docx,,
G-1211-24B Pavna Goyal Auto {FRAdjusting - CPIC} PLA - Machine.docx,,
G-1253-24B Rahul Enterprises {Huatai Ins} PLA - Frauid.docx,,
G-1649-23B KLJ Resources (Vanway - PIng An) Final SR.docx,,
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,,GENERAL INFORMATION → container/cargo tracking → CIRCUMSTANCES → Nature of packing → List of Enclosures
G-2093-23B KSH International (National General) 2nd PLA - Copper Wire Coils.docx,,
G-2126-23B Kalpa Power (Huatai Shanghai Br.-China Taiping) 2nd PLA - PALLETS.docx,,
Gladstone SR No. G-1325-23B  {BT Ref No. GM-AN-230879} - Andritz Hydro Pinnapuram Stator Wounds -Timesheet.docx,,
Gladstone SR No. G-1325-23B {BT Ref No. GM-AN-230879} - Andritz Hydro Pinnapuram Stator Wounds -Timesheet.docx,,
Lashing Diagram.docx,,
Gladstone SR No. G-2190-23B {BT Ref No. 236966} - Andritz Hydro -Timesheet.docx,,
BARBUSS’ SURVEYS PROTOCOL.docx,,
Enclosure I - Letter of Protest.docx,,
G-2237-21B AGT Foods (Barbuss Global) Preliminary Report (NJ's Corrected).docx,,
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,,
G-1109-23B Sheemit Agro {DPS Ref.No. IND-05323-LVDM} H.O PLA.docx,,GENERAL INFORMATION → SURVEY FINDINGS → Condition of the container: → Condition of the cargo: → EXTENT OF THE DAMAGE → CAUSE OF THE DAMAGE: → CONCLUSION
G-1372-23B Sabic Innovative (Taian) PLA.docx,,
G-1383-23B 20 Chemi Enterprises (Vanway - Ping An) PLA - new format.docx,,
G-1607-23G Sagar Polytechnik (Vanway-Ping An) PLA - Wet bags.docx,,
MITSUI CHEMICAL - JOINT SURVEY REPORT - 23-03-2024.docx,,
G-1337-23B 20 Microns (CPIC) PLA NEW FORMAT.docx,,
DP WORLD PORT PASS.docx,,PART A → PART - B → PART- C → Instructions:
Gladstone SR No. G-2192-23B {BT Ref No. 237505- KHS GmbH -Timesheet - 3 cases lashing inspection.docx,,
Gladstone SR No. G-2233-23G {BT Ref No. GM-IM-238050-24-JGI - SeaLand Project Logistics - Timesheet.docx,,
Gladstone SR No. G-1771-23B {BT Ref No. GM-IM-235096} - Coca Cola Hindusthan -Timesheet.docx,,
G-1870-23B  Andritz Hydro  (B&T Ref. GM-HK-235664-23-AZO) - Timesheet.docx,,
Gladstone SR No. G-2074-23B {BT Ref No. GM-IN-235449} KHS - Timesheet.docx,,
Gladstone SR No. G-2112-23B {BT Ref No. GM-HK-237296-24-CPR)  GmbH -Timesheet - 1 Damaged Case Inspection.docx,,
TOPPLED CASE FINDINGS.docx,,
Gladstone SR No. G-1766-23B - Hindusthan Coca Cola -Timesheet.docx,,
Gladstone SR No. G-2066-23B {BT Ref No. 236926} - Andritz Hydro Pinnapuram Stator Wounds -Timesheet.docx,,
SPOT JOINT SURVEY REPORT.docx,,
Gladstone SR No. G-2132-23G {BT Ref No. GM-IM-237160-24-JGI - SeaLand Project Logistics - Timesheet.docx,,
Gladstone SR No. G-1128-24B {BT Ref No. GM-IN-238624-24-CBO} KHS - Timesheet.docx,,
G-1915-22B Smooth Run (Huatai) Desktop Review Report.docx,,DESKTOP REVIEW REPORT NO. G/1915/22B
G-1379-23G Shakti Techtex (PICC) PLA.docx,,
G-2104-23B  Wockhardt Ltd (Huatai) PLA.docx,,
G-1887-22B Morde Foods (JLB) PLA.docx,,
G-1183-23B Ramdev - WP Joint Survey Report.docx,,
G-1514-23B Jewel Packaging {Vanway Global - Ping An} PLA - Aluminium Foil.docx,,
G-2115-21B TT Steel {Mitsui- Japan} H.O PLA.docx,,PRELIMINARY SURVEY REPORT NO. G/2115/21B → Background: → Our Survey: → Photographs taken during survey: → Condition Found during survey: → Cause of Damage:
G-2142-21B TT Steel {Mitsui- Japan} H.O Desktop Review Report.docx,,DESKTOP REVIEW REPORT NO. G/2142/21B → Background: → Photographs submitted by the consignees: → Cause of Damage:
G-2180-21B AVN Commodities (PICC) H.O PLA.docx,,"PRELIMINARY SURVEY REPORT NO. G/2180/21B → Background: → Joint Survey held at Saurashtra CFS, Mundra on 7 February 2022: → Joint Survey held at consignees’ factory at Gujarat on 8 February 2022: → Photographs taken during survey at the CFS and consignees’ factory:"
G-1398-23B Prasad Gwk Cooltech {PICC} PLA H.O TUBES.docx,,
G-1543-23B Macawber Beekay (Vanway-Ping An) PLA.docx,,
G-1406-22B Putzmiester Concret {DPS Ref No. IND-12922-JS} H.O PLA.docx,,GENERAL INFORMATION → container/cargo tracking → CIRCUMSTANCES → SURVEY FINDINGS → EXTENT OF THE DAMAGE → Nature of packing → CAUSE OF THE DAMAGE → List of Enclosures
G-1406-22B Putzmiester Concret {DPS Ref No. IND-12922-JS} PLA.docx,,GENERAL INFORMATION → container/cargo tracking → CIRCUMSTANCES → SURVEY FINDINGS → EXTENT OF THE DAMAGE → Nature of packing → CAUSE OF THE DAMAGE → CONCLUSION → List of Enclosures
G-1449-23B Phoolchand Bhagatsingh (Ping An - Vanway) PLA.docx,,
G-1586-23B Lupin Ltd (Vanway-Ping An) H.O PLA.docx,,
G-1586-23B Lupin Ltd (Vanway-Ping An) Second H.O PLA.docx,,
G-1654-23B Zentiva {Vanway-Ping An Ref No. VW16423-GY} PLA - Airport 2 drums leaky.docx,,
