filename,report_number,type,commodity,container_count,photo_count_approx,page_count_approx,date,content_hash
LEAD DRUMS IN CONTAINER.docx,,SURVEY,unknown,0,0,1,,03a155f6a43bfe40
G-1158-24B Crystal Crop Protection (PICC) PLA (Leakage drums in container).docx,,SURVEY,unknown,0,1,1,15 May 2024,ca541a854cfe224b
G-1171-24B Swara Hygiene Pvt. Ltd..  (PICC) PLA - bags.docx,,SURVEY,unknown,0,1,1,20 May 2024,29b19328704064ba
G-1183-24G AYM Syntex (Lead Marine - CPIC) Prelim Report - JUMBO BAGS - JUMBO BAGS.docx,,SURVEY,unknown,0,3,1,10 May 2024,ad0407af32f6415a
G-1183-24G AYM Syntex (Lead Marine - CPIC) Prelim Report JUMBO BAGS.docx,,SURVEY,unknown,0,3,1,10 May 2024,dcece7aefb374bae
G-1190-24B Ceat Limited (PICC) PLA - damaged case in container.docx,,SURVEY,unknown,0,3,1,25 May 2024,1a5dc86b8a9a7d9a
G-1202-24B Herald Publications (CNA) PLA - Machine.docx,,SURVEY,unknown,0,20,3,21 May 2024,1f591d017ae04b15
G-1211-24B Pavna Goyal Auto {FRAdjusting - CPIC} PLA - Machine.docx,,SURVEY,unknown,0,0,1,17 May 2024,dd43e7fa53351780
G-1253-24B Rahul Enterprises {Huatai Ins} PLA - Frauid.docx,,SURVEY,steel,2,4,2,23 May 2024,7c150b339b631e91
G-1649-23B KLJ Resources (Vanway - PIng An) Final SR.docx,,SURVEY,unknown,0,0,2,10 October 2023,9781c44301b314e9
G-1941-22B Balkrishna Industries {DPS Ref No. IND-00223-HVT} 2nd PLA.docx,,SURVEY,unknown,0,2,1,06 October 2022,0c3a1a616742aafe
G-2093-23B KSH International (National General) 2nd PLA - Copper Wire Coils.docx,,SURVEY,unknown,0,7,1,19 February 2024,b49e0615643d4ee8
G-2126-23B Kalpa Power (Huatai Shanghai Br.-China Taiping) 2nd PLA - PALLETS.docx,,SURVEY,unknown,0,4,1,28 February 2024,1de4ba747832329c
Gladstone SR No. G-1325-23B  {BT Ref No. GM-AN-230879} - Andritz Hydro Pinnapuram Stator Wounds -Timesheet.docx,,SURVEY,unknown,0,0,1,,e21e0999a101a979
Gladstone SR No. G-1325-23B {BT Ref No. GM-AN-230879} - Andritz Hydro Pinnapuram Stator Wounds -Timesheet.docx,,SURVEY,unknown,0,0,1,,5a92a018b526a565
Lashing Diagram.docx,,SURVEY,unknown,0,0,1,,5fdb5b149e7f1098
Gladstone SR No. G-2190-23B {BT Ref No. 236966} - Andritz Hydro -Timesheet.docx,,SURVEY,unknown,0,0,1,,927676f3a85b0347
BARBUSS’ SURVEYS PROTOCOL.docx,,SURVEY,unknown,0,0,2,,59a2d1b7438a9e2d
Enclosure I - Letter of Protest.docx,,SURVEY,unknown,0,0,1,,a3d03cbdd5f655eb
G-2237-21B AGT Foods (Barbuss Global) Preliminary Report (NJ's Corrected).docx,,SURVEY,unknown,0,2,2,,a30b8d859b5260bb
G-1024-24B Narmada Pipes (Vanway - Ping An) PLA.docx,,SURVEY,unknown,0,1,2,7 April 2024,42d1cd7969d97880
G-1109-23B Sheemit Agro {DPS Ref.No. IND-05323-LVDM} H.O PLA.docx,,SURVEY,unknown,0,7,1,5 May 2023,867365447fe48e66
G-1372-23B Sabic Innovative (Taian) PLA.docx,,SURVEY,unknown,1,2,2,31 July 2023,37db85c40c628284
G-1383-23B 20 Chemi Enterprises (Vanway - Ping An) PLA - new format.docx,,SURVEY,unknown,0,0,1,24 July 2023,b81c1a598d77e3ee
G-1607-23G Sagar Polytechnik (Vanway-Ping An) PLA - Wet bags.docx,,SURVEY,unknown,0,10,3,22 September 2023,c3b05dfa77adeafd
MITSUI CHEMICAL - JOINT SURVEY REPORT - 23-03-2024.docx,,SURVEY,unknown,0,0,1,23 March 2024,0b5264bfe1b82f6e
G-1337-23B 20 Microns (CPIC) PLA NEW FORMAT.docx,,SURVEY,unknown,0,0,1,10 July 2023,accd26b38bd43416
DP WORLD PORT PASS.docx,,SURVEY,unknown,0,0,1,,c0111e8d0c46919c
Gladstone SR No. G-2192-23B {BT Ref No. 237505- KHS GmbH -Timesheet - 3 cases lashing inspection.docx,,SURVEY,unknown,0,0,1,,fda4ef918c2e64b0
Gladstone SR No. G-2233-23G {BT Ref No. GM-IM-238050-24-JGI - SeaLand Project Logistics - Timesheet.docx,,SURVEY,unknown,0,0,1,,a4c6d63b7c9ccde1
